S
I=18,J=18
28.000000, 40.000000, 1.827116
32.000000, 40.000000, 2.794212
36.000000, 40.000000, 4.192535
40.000000, 40.000000, 3.756052
44.000000, 40.000000, 2.328996
48.000000, 40.000000, 1.165346
52.000000, 40.000000, 0.132672
56.000000, 40.000000, 0.985787
60.000000, 40.000000, 2.135079
64.000000, 40.000000, 3.265043
68.000000, 40.000000, 2.982968
0.000000, 44.000000, 4.330431
4.000000, 44.000000, 4.243296
8.000000, 44.000000, 3.542479
12.000000, 44.000000, 2.053772
16.000000, 44.000000, 0.867568
20.000000, 44.000000, 0.704405
24.000000, 44.000000, 0.886594
28.000000, 44.000000, 1.299791
32.000000, 44.000000, 1.920658
36.000000, 44.000000, 2.503231
40.000000, 44.000000, 2.555093
44.000000, 44.000000, 2.039433
48.000000, 44.000000, 1.285990
52.000000, 44.000000, 0.733456
56.000000, 44.000000, 0.997590
60.000000, 44.000000, 1.302361
64.000000, 44.000000, 1.350331
68.000000, 44.000000, 1.425869
0.000000, 48.000000, 4.092155
4.000000, 48.000000, 3.937725
8.000000, 48.000000, 3.375035
12.000000, 48.000000, 2.363431
16.000000, 48.000000, 1.329573
20.000000, 48.000000, 0.558735
24.000000, 48.000000, 0.374319
28.000000, 48.000000, 0.836570
32.000000, 48.000000, 1.294058
36.000000, 48.000000, 1.613531
40.000000, 48.000000, 1.903669
44.000000, 48.000000, 1.952686
48.000000, 48.000000, 1.725016
52.000000, 48.000000, 1.521129
56.000000, 48.000000, 1.469453
60.000000, 48.000000, 1.106633
64.000000, 48.000000, 0.325615
68.000000, 48.000000, 0.639438
0.000000, 52.000000, 4.060637
4.000000, 52.000000, 4.069837
8.000000, 52.000000, 3.934039
12.000000, 52.000000, 3.438135
16.000000, 52.000000, 2.361766
20.000000, 52.000000, 0.950360
24.000000, 52.000000, 0.471136
28.000000, 52.000000, 0.762840
32.000000, 52.000000, 0.860424
36.000000, 52.000000, 0.913398
40.000000, 52.000000, 1.546061
44.000000, 52.000000, 2.118148
48.000000, 52.000000, 2.348257
52.000000, 52.000000, 2.488720
56.000000, 52.000000, 2.544353
60.000000, 52.000000, 1.974123
64.000000, 52.000000, 1.159984
68.000000, 52.000000, 1.123261
0.000000, 56.000000, 4.126928
4.000000, 56.000000, 4.351844
8.000000, 56.000000, 4.660818
12.000000, 56.000000, 5.244278
16.000000, 56.000000, 5.721890
20.000000, 56.000000, 2.445598
24.000000, 56.000000, 1.395337
28.000000, 56.000000, 1.147283
32.000000, 56.000000, 0.755074
36.000000, 56.000000, 0.567231
40.000000, 56.000000, 1.860542
44.000000, 56.000000, 2.749090
48.000000, 56.000000, 3.243076
52.000000, 56.000000, 3.802680
56.000000, 56.000000, 4.948951
60.000000, 56.000000, 4.641517
64.000000, 56.000000, 2.672352
68.000000, 56.000000, 2.091444
0.000000, 60.000000, 4.169461
4.000000, 60.000000, 4.507769
8.000000, 60.000000, 4.948985
12.000000, 60.000000, 5.534689
16.000000, 60.000000, 5.478426
20.000000, 60.000000, 3.591883
24.000000, 60.000000, 2.462277
28.000000, 60.000000, 2.143656
32.000000, 60.000000, 2.169946
36.000000, 60.000000, 3.233472
40.000000, 60.000000, 3.970004
44.000000, 60.000000, 4.033576
48.000000, 60.000000, 4.263299
52.000000, 60.000000, 4.701836
56.000000, 60.000000, 5.625925
60.000000, 60.000000, 5.288720
64.000000, 60.000000, 3.677954
68.000000, 60.000000, 2.869646
0.000000, 64.000000, 4.133126
4.000000, 64.000000, 4.467415
8.000000, 64.000000, 4.805468
12.000000, 64.000000, 4.979946
16.000000, 64.000000, 4.733784
20.000000, 64.000000, 3.973892
24.000000, 64.000000, 3.345731
28.000000, 64.000000, 3.237879
32.000000, 64.000000, 3.977642
36.000000, 64.000000, 6.116433
40.000000, 64.000000, 5.996911
44.000000, 64.000000, 5.122895
48.000000, 64.000000, 4.844534
52.000000, 64.000000, 4.913433
56.000000, 64.000000, 5.033445
60.000000, 64.000000, 4.674322
64.000000, 64.000000, 3.908956
68.000000, 64.000000, 3.274818
0.000000, 68.000000, 3.931256
4.000000, 68.000000, 4.279738
8.000000, 68.000000, 4.567073
12.000000, 68.000000, 4.609613
16.000000, 68.000000, 4.441947
20.000000, 68.000000, 4.090661
24.000000, 68.000000, 3.821092
28.000000, 68.000000, 3.920863
32.000000, 68.000000, 4.564272
36.000000, 68.000000, 5.435524
40.000000, 68.000000, 5.641170
44.000000, 68.000000, 5.320188
48.000000, 68.000000, 4.963390
52.000000, 68.000000, 4.793427
56.000000, 68.000000, 4.646575
60.000000, 68.000000, 4.335598
64.000000, 68.000000, 3.877816
68.000000, 68.000000, 3.395673
