S
I=55,J=49
0.0, 0.0, 0.005327
0.0, 0.0, 0.005492
0.0, 0.0, 0.005580
0.0, 0.0, 0.005766
0.0, 0.0, 0.005917
0.0, 0.0, 0.006076
0.0, 0.0, 0.006189
0.0, 0.0, 0.006328
0.0, 0.0, 0.006555
0.0, 0.0, 0.006508
0.0, 0.0, 0.006385
0.0, 0.0, 0.006219
0.0, 0.0, 0.006086
0.0, 0.0, 0.005597
0.0, 0.0, 0.005904
0.0, 0.0, 0.005940
0.0, 0.0, 0.006013
0.0, 0.0, 0.005839
0.0, 0.0, 0.005581
0.0, 0.0, 0.005014
0.0, 0.0, 0.005339
0.0, 0.0, 0.005436
0.0, 0.0, 0.005481
0.0, 0.0, 0.004806
0.0, 0.0, 0.005152
0.0, 0.0, 0.005147
0.0, 0.0, 0.005276
0.0, 0.0, 0.005449
0.0, 0.0, 0.005634
0.0, 0.0, 0.005724
0.0, 0.0, 0.005627
0.0, 0.0, 0.005488
0.0, 0.0, 0.005422
0.0, 0.0, 0.005390
0.0, 0.0, 0.005400
0.0, 0.0, 0.005491
0.0, 0.0, 0.005664
0.0, 0.0, 0.005874
0.0, 0.0, 0.006020
0.0, 0.0, 0.006174
0.0, 0.0, 0.006198
0.0, 0.0, 0.006174
0.0, 0.0, 0.006249
0.0, 0.0, 0.006365
0.0, 0.0, 0.006505
0.0, 0.0, 0.006623
0.0, 0.0, 0.006529
0.0, 0.0, 0.006281
0.0, 0.0, 0.006013
0.0, 0.0, 0.005912
0.0, 0.0, 0.005919
0.0, 0.0, 0.005901
0.0, 0.0, 0.005929
0.0, 0.0, 0.006097
0.0, 0.0, 0.006218
0.0, 0.0, 0.005103
0.0, 0.0, 0.005164
0.0, 0.0, 0.005287
0.0, 0.0, 0.005458
0.0, 0.0, 0.005672
0.0, 0.0, 0.005931
0.0, 0.0, 0.006153
0.0, 0.0, 0.005938
0.0, 0.0, 0.005548
0.0, 0.0, 0.005968
0.0, 0.0, 0.006057
0.0, 0.0, 0.005887
0.0, 0.0, 0.005727
0.0, 0.0, 0.005358
0.0, 0.0, 0.005672
0.0, 0.0, 0.005787
0.0, 0.0, 0.005449
0.0, 0.0, 0.004939
0.0, 0.0, 0.005106
0.0, 0.0, 0.005073
0.0, 0.0, 0.005053
0.0, 0.0, 0.005050
0.0, 0.0, 0.005060
0.0, 0.0, 0.005065
0.0, 0.0, 0.005005
0.0, 0.0, 0.005022
0.0, 0.0, 0.005055
0.0, 0.0, 0.005153
0.0, 0.0, 0.005320
0.0, 0.0, 0.005530
0.0, 0.0, 0.005688
0.0, 0.0, 0.005666
0.0, 0.0, 0.005606
0.0, 0.0, 0.005553
0.0, 0.0, 0.005520
0.0, 0.0, 0.005482
0.0, 0.0, 0.005515
0.0, 0.0, 0.005670
0.0, 0.0, 0.005930
0.0, 0.0, 0.006071
0.0, 0.0, 0.005981
0.0, 0.0, 0.005926
0.0, 0.0, 0.006009
0.0, 0.0, 0.005988
0.0, 0.0, 0.005985
0.0, 0.0, 0.006101
0.0, 0.0, 0.006261
0.0, 0.0, 0.006281
0.0, 0.0, 0.006088
0.0, 0.0, 0.005825
0.0, 0.0, 0.005649
0.0, 0.0, 0.005475
0.0, 0.0, 0.005276
0.0, 0.0, 0.005370
0.0, 0.0, 0.005711
0.0, 0.0, 0.004824
0.0, 0.0, 0.004774
0.0, 0.0, 0.004770
0.0, 0.0, 0.004804
0.0, 0.0, 0.004875
0.0, 0.0, 0.005017
0.0, 0.0, 0.005272
0.0, 0.0, 0.005509
0.0, 0.0, 0.005038
0.0, 0.0, 0.005404
0.0, 0.0, 0.005564
0.0, 0.0, 0.005305
0.0, 0.0, 0.004786
0.0, 0.0, 0.004971
0.0, 0.0, 0.004904
0.0, 0.0, 0.004961
0.0, 0.0, 0.005019
0.0, 0.0, 0.005013
0.0, 0.0, 0.004984
0.0, 0.0, 0.004979
0.0, 0.0, 0.004976
0.0, 0.0, 0.004973
0.0, 0.0, 0.004979
0.0, 0.0, 0.004984
0.0, 0.0, 0.004989
0.0, 0.0, 0.004967
0.0, 0.0, 0.004946
0.0, 0.0, 0.004940
0.0, 0.0, 0.004987
0.0, 0.0, 0.005126
0.0, 0.0, 0.005350
0.0, 0.0, 0.005537
0.0, 0.0, 0.005573
0.0, 0.0, 0.005558
0.0, 0.0, 0.005597
0.0, 0.0, 0.005621
0.0, 0.0, 0.005408
0.0, 0.0, 0.005383
0.0, 0.0, 0.005508
0.0, 0.0, 0.005589
0.0, 0.0, 0.005615
0.0, 0.0, 0.005591
0.0, 0.0, 0.005584
0.0, 0.0, 0.005490
0.0, 0.0, 0.005452
0.0, 0.0, 0.005444
0.0, 0.0, 0.005585
0.0, 0.0, 0.005796
0.0, 0.0, 0.005935
0.0, 0.0, 0.005883
0.0, 0.0, 0.005682
0.0, 0.0, 0.005407
0.0, 0.0, 0.005060
0.0, 0.0, 0.005102
0.0, 0.0, 0.005441
0.0, 0.0, 0.004915
0.0, 0.0, 0.004817
0.0, 0.0, 0.004760
0.0, 0.0, 0.004716
0.0, 0.0, 0.004679
0.0, 0.0, 0.004668
0.0, 0.0, 0.004672
0.0, 0.0, 0.004708
0.0, 0.0, 0.004765
0.0, 0.0, 0.004736
0.0, 0.0, 0.004799
0.0, 0.0, 0.004892
0.0, 0.0, 0.004933
0.0, 0.0, 0.004936
0.0, 0.0, 0.004962
0.0, 0.0, 0.004947
0.0, 0.0, 0.004936
0.0, 0.0, 0.004932
0.0, 0.0, 0.004928
0.0, 0.0, 0.004915
0.0, 0.0, 0.004902
0.0, 0.0, 0.004903
0.0, 0.0, 0.004915
0.0, 0.0, 0.004934
0.0, 0.0, 0.004929
0.0, 0.0, 0.004913
0.0, 0.0, 0.004888
0.0, 0.0, 0.004852
0.0, 0.0, 0.004807
0.0, 0.0, 0.004798
0.0, 0.0, 0.004922
