S3D
I=24,J=27,K=3
50.0, 100.0, 0.0, 1381.35900879
50.0, 110.0, 0.0, 1467.47705078
50.0, 120.0, 0.0, 1521.60205078
50.0, 130.0, 0.0, 1542.80505371
50.0, 140.0, 0.0, 1569.60900879
50.0, 150.0, 0.0, 1638.46105957
50.0, 160.0, 0.0, 1691.85205078
50.0, 170.0, 0.0, 1722.92199707
50.0, 180.0, 0.0, 1725.75805664
50.0, 190.0, 0.0, 1715.32800293
50.0, 200.0, 0.0, 1751.84399414
50.0, 210.0, 0.0, 1814.59399414
50.0, 220.0, 0.0, 1827.53894043
50.0, 230.0, 0.0, 1803.16394043
50.0, 240.0, 0.0, 1787.89099121
50.0, 250.0, 0.0, 1764.51599121
50.0, 260.0, 0.0, 1728.34399414
60.0, 0.0, 0.0, 1076.71899414
60.0, 10.0, 0.0, 964.71087646
60.0, 20.0, 0.0, 1108.29699707
60.0, 30.0, 0.0, 992.78118896
60.0, 40.0, 0.0, 992.40618896
60.0, 50.0, 0.0, 1273.14099121
60.0, 60.0, 0.0, 1303.98400879
60.0, 70.0, 0.0, 1324.76599121
60.0, 80.0, 0.0, 1376.47705078
60.0, 90.0, 0.0, 1508.65600586
60.0, 100.0, 0.0, 1548.89794922
60.0, 110.0, 0.0, 1580.92199707
60.0, 120.0, 0.0, 1636.17199707
60.0, 130.0, 0.0, 1644.44494629
60.0, 140.0, 0.0, 1717.62500000
60.0, 150.0, 0.0, 1752.81994629
60.0, 160.0, 0.0, 1760.37500000
60.0, 170.0, 0.0, 1759.98400879
60.0, 180.0, 0.0, 1737.25805664
60.0, 190.0, 0.0, 1733.63305664
60.0, 200.0, 0.0, 1779.41394043
60.0, 210.0, 0.0, 1809.25000000
60.0, 220.0, 0.0, 1846.39794922
60.0, 230.0, 0.0, 1835.67199707
60.0, 240.0, 0.0, 1810.73400879
60.0, 250.0, 0.0, 1791.96899414
60.0, 260.0, 0.0, 1757.42199707
70.0, 0.0, 0.0, 1091.82800293
70.0, 10.0, 0.0, 966.03118896
70.0, 20.0, 0.0, 1138.81201172
70.0, 30.0, 0.0, 1172.18798828
70.0, 40.0, 0.0, 1261.74194336
70.0, 50.0, 0.0, 1428.75805664
70.0, 60.0, 0.0, 1519.46105957
70.0, 70.0, 0.0, 1532.65600586
70.0, 80.0, 0.0, 1579.19494629
70.0, 90.0, 0.0, 1670.25805664
70.0, 100.0, 0.0, 1697.14794922
70.0, 110.0, 0.0, 1748.43798828
70.0, 120.0, 0.0, 1772.04699707
70.0, 130.0, 0.0, 1772.15600586
70.0, 140.0, 0.0, 1889.15600586
70.0, 150.0, 0.0, 1887.50000000
70.0, 160.0, 0.0, 1886.16394043
70.0, 170.0, 0.0, 1858.76599121
70.0, 180.0, 0.0, 1826.64099121
70.0, 190.0, 0.0, 1806.05505371
70.0, 200.0, 0.0, 1824.47705078
70.0, 210.0, 0.0, 1826.04699707
70.0, 220.0, 0.0, 1838.08605957
70.0, 230.0, 0.0, 1833.14099121
70.0, 240.0, 0.0, 1804.73400879
70.0, 250.0, 0.0, 1782.93005371
70.0, 260.0, 0.0, 1745.54699707
80.0, 0.0, 0.0, 1048.95300293
80.0, 10.0, 0.0, 1086.66394043
80.0, 20.0, 0.0, 1179.58605957
80.0, 30.0, 0.0, 1207.87500000
80.0, 40.0, 0.0, 1347.21105957
80.0, 50.0, 0.0, 1587.23400879
80.0, 60.0, 0.0, 1696.47705078
80.0, 70.0, 0.0, 1688.67199707
80.0, 80.0, 0.0, 1702.73400879
80.0, 90.0, 0.0, 1811.80505371
80.0, 100.0, 0.0, 1886.52294922
80.0, 110.0, 0.0, 1846.79699707
80.0, 120.0, 0.0, 1903.18005371
80.0, 130.0, 0.0, 1987.05505371
80.0, 140.0, 0.0, 2028.26599121
80.0, 150.0, 0.0, 2038.48400879
80.0, 160.0, 0.0, 1991.02294922
80.0, 170.0, 0.0, 1933.24194336
80.0, 180.0, 0.0, 1910.33605957
80.0, 190.0, 0.0, 1844.56201172
80.0, 200.0, 0.0, 1815.85900879
80.0, 210.0, 0.0, 1797.83605957
80.0, 220.0, 0.0, 1790.85900879
80.0, 230.0, 0.0, 1782.10900879
80.0, 240.0, 0.0, 1757.78100586
80.0, 250.0, 0.0, 1738.04699707
80.0, 260.0, 0.0, 1695.25000000
90.0, 0.0, 0.0, 1091.78894043
90.0, 10.0, 0.0, 1211.97705078
90.0, 20.0, 0.0, 1329.04699707
90.0, 30.0, 0.0, 1422.56201172
90.0, 40.0, 0.0, 1564.79699707
90.0, 50.0, 0.0, 1751.31201172
90.0, 60.0, 0.0, 1880.64099121
90.0, 70.0, 0.0, 1810.46899414
90.0, 80.0, 0.0, 1854.53894043
90.0, 90.0, 0.0, 1876.07800293
90.0, 100.0, 0.0, 1959.51599121
90.0, 110.0, 0.0, 1985.14099121
90.0, 120.0, 0.0, 2013.64794922
90.0, 130.0, 0.0, 2052.85888672
90.0, 140.0, 0.0, 2085.50805664
90.0, 150.0, 0.0, 2032.85205078
90.0, 160.0, 0.0, 2013.34399414
90.0, 170.0, 0.0, 1995.60900879
90.0, 180.0, 0.0, 1951.78894043
90.0, 190.0, 0.0, 1881.50805664
90.0, 200.0, 0.0, 1813.41394043
