S
I=43,J=43
15.000000, 4.000000, 1.708032
16.000000, 4.000000, 1.576005
17.000000, 4.000000, 1.426480
18.000000, 4.000000, 1.264419
19.000000, 4.000000, 1.095041
20.000000, 4.000000, 0.924373
21.000000, 4.000000, 0.760601
22.000000, 4.000000, 0.616086
23.000000, 4.000000, 0.510465
24.000000, 4.000000, 0.469540
25.000000, 4.000000, 0.507185
26.000000, 4.000000, 0.609713
27.000000, 4.000000, 0.752329
28.000000, 4.000000, 0.917105
29.000000, 4.000000, 1.094542
30.000000, 4.000000, 1.281018
31.000000, 4.000000, 1.480928
32.000000, 4.000000, 1.734869
33.000000, 4.000000, 2.022506
34.000000, 4.000000, 2.306169
35.000000, 4.000000, 2.575516
36.000000, 4.000000, 2.823671
37.000000, 4.000000, 3.040515
38.000000, 4.000000, 3.213666
39.000000, 4.000000, 3.334306
40.000000, 4.000000, 3.401386
41.000000, 4.000000, 3.423630
42.000000, 4.000000, 3.417593
0.000000, 5.000000, 2.715283
1.000000, 5.000000, 2.699461
2.000000, 5.000000, 2.782562
3.000000, 5.000000, 2.841931
4.000000, 5.000000, 2.844742
5.000000, 5.000000, 2.683551
6.000000, 5.000000, 2.199648
7.000000, 5.000000, 1.756303
8.000000, 5.000000, 1.601161
9.000000, 5.000000, 1.696713
10.000000, 5.000000, 1.830548
11.000000, 5.000000, 1.911767
12.000000, 5.000000, 1.932303
13.000000, 5.000000, 1.901585
14.000000, 5.000000, 1.829113
15.000000, 5.000000, 1.722217
16.000000, 5.000000, 1.587015
17.000000, 5.000000, 1.429240
18.000000, 5.000000, 1.254158
19.000000, 5.000000, 1.067716
20.000000, 5.000000, 0.876099
21.000000, 5.000000, 0.687163
22.000000, 5.000000, 0.512597
23.000000, 5.000000, 0.375473
24.000000, 5.000000, 0.319639
25.000000, 5.000000, 0.377354
26.000000, 5.000000, 0.516972
27.000000, 5.000000, 0.694673
28.000000, 5.000000, 0.889326
29.000000, 5.000000, 1.093719
30.000000, 5.000000, 1.307114
